# CSV-File created with merge-csv.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
# -----------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
A review of passive forensic techniques for detection of copy-move attacks on digital videos,S. Sharma; S. V. Dhavale,"Computer Science & Engg Department, Defence Institute of Advanced Technology, Pune, India; Computer Science & Engg Department, Defence Institute of Advanced Technology, Pune, India",2016 3rd International Conference on Advanced Computing and Communication Systems (ICACCS),10-Oct-16,2016,1,,1,6,"In recent times, the ease in availability and usability of digital video editing tools has become a major challenge to video forensic experts, to accurately authenticate any suspected digital video content. Besides, the wide range and rapid advancement in the field of such editing tools and improvements in anti-forensic techniques has enabled any naïve user to edit, alter, and modify any digital video with minimal traces/footprints. Recent surveys in the field of digital video forensics highlight the need of research in this field. The requirement of authenticating the integrity of the contents of digital videos ranges from an individual to organizations, defense and security setups to law enforcement agencies. Further to it, the need to explore newer and more effective Passive (or Blind) video forgery detection approaches is gaining importance day by day. This is attributable to the fact that digital videos are accepted as evidences in most of the countries and real life cases involving tampered digital videos, more often than not, rarely get supplemented by any other reference information besides the suspected video. This paper aims at highlighting the challenges and brings out opportunities in the field of Passive or Blind digital video forensics, focusing on spatio-temporal or copy-move attacks on digital videos, by reviewing the existing literature and research work in this field.",,978-1-4673-9206-8,10.1109/ICACCS.2016.7586396,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7586396,Digital Forensics;Passive video forensics;Spatio-Temporal video forensics;Copy-Move attacks,Videos;Forgery;Forensics;Digital images;Cameras;Feature extraction;Transform coding,,13,,29,IEEE,10-Oct-16,22-23 Jan. 2016,22-23 Jan. 2016,IEEE,IEEE Conferences
Magec: An Image Searching Tool for Detecting Forged Images in Forensic Investigation,S. Al Sharif; M. Al Ali; N. Al Reqabi; F. Iqbal; T. Baker; A. Marrington,"College of Technological Innovation, Zayed University, UAE; College of Technological Innovation, Zayed University, UAE; College of Technological Innovation, Zayed University, UAE; College of Technological Innovation, Zayed University, UAE; Department of Computer Science, Liverpool John Moores University, UK; College of Technological Innovation, Zayed University, UAE","2016 8th IFIP International Conference on New Technologies, Mobility and Security (NTMS)",22-Dec-16,2016,,,1,6,"Manipulation of digital images for the purpose of forgery is a rapidly growing phenomenon that poses a challenge for cyber-crime investigators. Distinguishing original images from duplicates and the number of original copies within the same media are some examples of challenges presented by duplicate digital images. In this paper, we present a new image-searching tool called, Magec, to detect duplicate image(s) on digital media, using the original image modification attributes as a signature. First, we describe the tool and the methods used to detect duplicate images, then we evaluate the tool's performance based on the number of folders it searches and the number of files it searches for. Later, we present the analysis of the tool using different operating system attributes. The goal is to find copies of the same object that is hidden; compressed images, or images saved with different attributes and demonstrates which one is the original image and thereby deduce which ones are copies. This research helps in better utilization of small/limited capacity devices, where limited storage capacity may be a problem. The experimental results prove that the presented search tool provides faster and accurate results. Finally, the conducted tests on the Magec tool analyzed, and verified, and the results are presented alongside with challenges identified.",2157-4960,978-1-5090-2914-3,10.1109/NTMS.2016.7792460,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7792460,,Digital images;Image coding;Operating systems;Cryptography;Media;Watermarking;Digital forensics,,12,,15,IEEE,22-Dec-16,21-23 Nov. 2016,21-23 Nov. 2016,IEEE,IEEE Conferences
A review on digital image forensics,A. Singh; N. Jindal; K. Singh,"Thapar University, Patiala, Punjab, IN; Thapar University, Patiala, Punjab, IN; Thapar University, Patiala, Punjab, IN",​International Conference on Signal Processing​​ (ICSP 2016),17-May-18,2016,,,1,6,"The intent of this review paper is to render an extensive overview of the techniques and methods in the field of image forensics. The techniques of detection of image forgery are classified according to their place in the digital image life cycle. The basic ideology behind the detection of forgery in an image is the analysis of digital traces or fingerprint left in the image due to various operations performed on the image. This analysis altogether determines the presence of any manipulation in the image. The most efficient ways of image forensics are one in which there is no prior information of the actual image. This approach is known as blind approach and provides a reliable technique to detect the forgery in an image by just analysing some inherited features in the image. The inconsistencies in these traces or digital fingerprints can reveal that the image has undergone any operation that changes the semantic content of the image and can conclusively reveal the forgery. The tools of image forensics are classified into the following main classes according to their place in the digital image life cycle: i) Acquisition based methods, ii) Coding based methods, and iii) Editing based methods.",,978-1-78561-784-3,10.1049/cp.2016.1451,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8360575,Forensics;Forgery;Blind source identification;Image compression;editing attacks,,,1,,,,17-May-18,7-9 Nov. 2016,7-9 Nov. 2016,IET,IET Conferences
Verifiable Limited Disclosure: Reporting and Handling Digital Evidence in Police Investigations,T. Tun; B. Price; A. Bandara; Y. Yu; B. Nuseibeh,"The Open University, UK; The Open University, UK; The Open University, UK; The Open University, UK; The Open University, UK",2016 IEEE 24th International Requirements Engineering Conference Workshops (REW),16-Jan-17,2016,,,102,105,"Police investigations involving digital evidence tend to focus on forensic examination of storage units on personal electronic devices (laptops, smartphones, etc). However, a number of factors are making digital forensic tools increasingly ineffective: (i) storage capacities of electronic devices have increased, and so has the amount of personal information held on them, (ii) cyber crimes are increasingly committed on social media, and evidence of crimes are held on social media platforms, not necessarily on personal devices, (iii) there is a greater need for protecting digital privacy, especially when examining digital evidence from witnesses and victims of cyber crimes. These factors pose a number of practical challenges for both law enforcement agencies and citizens when disclosing and handling the digital evidence. This paper defines and illustrates the key challenges, and proposes the concept of verifiable limited disclosure, which defines a communication protocol to ensure privacy, continuity and integrity of digital evidence. More specifically, the protocol allows (i) citizens to decide what evidence to disclose to law enforcement agencies and (ii) any of the two parties to be able to prove any tampering of the disclosed evidence. The paper discusses methods for implementing the communication protocol using standard security and privacy tools and presents a pathway to evaluating their effectiveness.",,978-1-5090-3694-3,10.1109/REW.2016.032,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7815615,Digital Forensic;Social Media;Cyber Crimes;Digital Privacy,Social network services;Law enforcement;Privacy;Protocols;Cryptography;Smart phones;Digital forensics,,7,,8,IEEE,16-Jan-17,12-16 Sept. 2016,12-16 Sept. 2016,IEEE,IEEE Conferences
Survey of copy-paste forgery detection in digital image forensic,A. U. Tembe; S. S. Thombre,"Department of Computer Science & Engineering, YCCE, Nagpur, India; Department of Computer Science & Engineering, YCCE, Nagpur, India",2017 International Conference on Innovative Mechanisms for Industry Applications (ICIMIA),13-Jul-17,2017,,,248,252,"Nowadays image manipulation plays an important role due to the powerful photo editing software such as Picasa, Photoshop so that it looks like as original. Such tampering with the original digital image is called as image forgery. The detection of image forgery in an image is important so it can be used as legal evidence in investigations such as court and other fields. Many Images are used as genuine proof of any crime and this remains accurate then it will create a problem. Detecting these forgery types is faces problem at present. To find the forgeries in a digital image is the challenging task. Manipulation of an image is the common place with growing widely access to powerful computing graphics abilities. In this paper trying to implement copy-paste image forgery where copied one part from an image is pasted with another image. The finally result is shows the accuracy and efficiency of this technique for detecting copy-paste forgery with translation, scaling, rotation.",,978-1-5090-5960-7,10.1109/ICIMIA.2017.7975613,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7975613,Image Forensic;tamper detection;copy-paste forgery,Forgery;Feature extraction;Digital images;Robustness;Conferences;Transforms;Industry applications,,10,,28,IEEE,13-Jul-17,21-23 Feb. 2017,21-23 Feb. 2017,IEEE,IEEE Conferences
Some remarks on a set of information theory features used for on-line signature verification,M. Antal; L. Z. Szabó,"Dpartment of Mathematics and Informatics, Sapientia University Faculty of Technical and Human Sciences, Tirgu Mures, Romania; Dpartment of Mathematics and Informatics, Sapientia University Faculty of Technical and Human Sciences, Tirgu Mures, Romania",2017 5th International Symposium on Digital Forensic and Security (ISDFS),04-May-17,2017,,,1,5,"Recently a new set consisting of six information theory features was proposed for on-line signature verification by Rosso, Ospina and Frery. The proposed features were evaluated on the MCYT-100 on-line signature database resulting in the best performance ever measured on that dataset. In this paper we repeat their measurements and show that their result is erroneous. In addition, we evaluate the performance of the same on-line signature verification system using exactly the same number of state-of-the-art features. State-of-the-art features always outperform the information theory related features, regardless of the classification method used.",,978-1-5090-5835-8,10.1109/ISDFS.2017.7916498,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7916498,on-line signature verification;information theory features;feature consistency;performance evaluation,Feature extraction;Information theory;Detectors;Forgery;Training;Standards;Histograms,,3,,16,IEEE,04-May-17,26-28 April 2017,26-28 April 2017,IEEE,IEEE Conferences
Digital Media Tampering Detection Techniques: An Overview,S. Teerakanok; T. Uehara,"Cyber Security Laboratory, Ritsumeikan University, Shiga, Japan; Cyber Security Laboratory, Ritsumeikan University, Shiga, Japan",2017 IEEE 41st Annual Computer Software and Applications Conference (COMPSAC),11-Sep-17,2017,2,,170,174,"Digital media has played a critical role in today information system. With emerging of easy-to-use media manipulating tools which can be found anywhere on the internet, a user can now alter the content of their digital media (e.g. digital image, audio or video) in order to achieve his/her personal goal without leaving no traces detectable by human's basic perceptions. Hence, the authenticity of the digital media can no longer be guaranteed. This leads to the serious problem regarding digital crime investigation. In this paper, an overview on forgery attacks and techniques used to fight against these attacks are present and discussed.",0730-3157,978-1-5386-0367-3,10.1109/COMPSAC.2017.109,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8029913,,Media;Forgery;Digital images;Interpolation;Splicing;Transform coding;Missiles,,4,,23,IEEE,11-Sep-17,4-8 July 2017,4-8 July 2017,IEEE,IEEE Conferences
Robust video editing detection using Scalable Color and Color Layout Descriptors,P. Chantharainthron; S. Panthuwadeethorn; S. Phimoltares,"Department of Mathematics and Computer Science Faculty of Science, Chulalongkorn University, Bangkok, Thailand; Department of Mathematics and Computer Science Faculty of Science, Chulalongkorn University, Bangkok, Thailand; Department of Mathematics and Computer Science Faculty of Science, Chulalongkorn University, Bangkok, Thailand",2017 14th International Joint Conference on Computer Science and Software Engineering (JCSSE),07-Sep-17,2017,,,1,6,"Nowadays, recorded videos from surveillance cameras are important evidence for legal investigation in the field of forensic science. Videos may be modified to deviate contents by a person involves in a crime. In this paper, a video editing detection based on Scalable Color Descriptor (SCD) and Color Layout Descriptor (CLD) is proposed. The detection method is composed of two components: (1) generating video identifier and signature and (2) video verification. The experimental results show that applying SCD and CLD to design the detection method outperforms the other descriptors in terms of false acceptance rate and false rejection rate. It is concluded that our method accurately classifies whether or not an incoming video is forged.",,978-1-5090-4834-2,10.1109/JCSSE.2017.8025923,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8025923,Video editing detection;Video forgery detection;Scalable Color Descriptor;SCD;Color Layout Descriptor;CLD,Image color analysis;Feature extraction;Transform coding;Image edge detection;Histograms;Forgery;Layout,,5,,13,IEEE,07-Sep-17,12-14 July 2017,12-14 July 2017,IEEE,IEEE Conferences
Detection and Localization of Image Forgeries Using Resampling Features and Deep Learning,J. Bunk; J. H. Bappy; T. M. Mohammed; L. Nataraj; A. Flenner; B. S. Manjunath; S. Chandrasekaran; A. K. Roy-Chowdhury; L. Peterson,"Mayachitra Inc., Santa Barbara, California, USA; Department of Electrical and Computer Engineering, University of California, Riverside, USA; Mayachitra Inc., Santa Barbara, California, USA; Mayachitra Inc., Santa Barbara, California, USA; Naval Air Warfare Center Weapons Division, California, USA; Department of Electrical and Computer Engineering, University of California, Santa Barbara, USA; Department of Electrical and Computer Engineering, University of California, Santa Barbara, USA; Department of Electrical and Computer Engineering, University of California, Riverside, USA; Naval Air Warfare Center Weapons Division, California, USA",2017 IEEE Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),24-Aug-17,2017,,,1881,1889,"Resampling is an important signature of manipulated images. In this paper, we propose two methods to detect and localize image manipulations based on a combination of resampling features and deep learning. In the first method, the Radon transform of resampling features are computed on overlapping image patches. Deep learning classifiers and a Gaussian conditional random field model are then used to create a heatmap. Tampered regions are located using a Random Walker segmentation method. In the second method, resampling features computed on overlapping image patches are passed through a Long short-term memory (LSTM) based network for classification and localization. We compare the performance of detection/localization of both these methods. Our experimental results show that both techniques are effective in detecting and localizing digital image forgeries.",2160-7516,978-1-5386-0733-6,10.1109/CVPRW.2017.235,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8014969,,Feature extraction;Transform coding;Machine learning;Image segmentation;Heating systems;Neural networks;Radon,,135,1,44,IEEE,24-Aug-17,21-26 July 2017,21-26 July 2017,IEEE,IEEE Conferences
Robustness analysis of a passive printer identification scheme for halftone images,S. Escher; T. Strafe,"Chair of Privacy and Security, TU Dresden, Germany; Technische Universitat Dresden, Dresden, Sachsen, DE",2017 IEEE International Conference on Image Processing (ICIP),22-Feb-18,2017,,,4357,4361,"Printer identification is an important part of printer forensics to protect the reliability of printed documents or to track criminals. While the results of existing identification methods are promising, the robustness of these methods is usually not considered. Therefore, we analyzed an identification scheme which uses the halftone texture of color laser image prints as an intrinsic signature. We evaluated the signature's stability and its vulnerability to forgery. Our results show that the halftone textures depend on different driver settings and can be manipulated. Additionally we show that for specific forensical purposes the identification scheme can be applied to colored text as well.",2381-8549,978-1-5090-2175-8,10.1109/ICIP.2017.8297105,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8297105,Digital forensics;Printer identification;Multimedia forensics;Laser printer,Printers;Image color analysis;Printing;Laser stability;Stability analysis;Robustness,,8,,19,IEEE,22-Feb-18,17-20 Sept. 2017,17-20 Sept. 2017,IEEE,IEEE Conferences
Mitigating anti-forensics in the Cloud via resource-based privacy preserving activity attribution,A. Odebade; T. Welsh; S. Mthunzi; E. Benkhelifa,"Faculty of Computing, Engineering and Sciences, Staffordshire University, UK; Faculty of Computing, Engineering and Sciences, Staffordshire University, UK; Faculty of Computing, Engineering and Sciences, Staffordshire University, UK; Faculty of Computing, Engineering and Sciences, Staffordshire University, UK",2017 Fourth International Conference on Software Defined Systems (SDS),08-Jun-17,2017,,,143,149,"The multi-tenant Cloud environment creates a plethora of both technical and legal difficulties for digital forensics. Digital forensics typically relies on the analysis of evidence images or residual data. Due to the distributed nature of cloud environments can cause the required dataset to scale rapidly. When coupled with diversely heterogeneous environments, the widespread uptake of anti-forensic data and encryption, privacy requirements and a non-standardised architecture across Cloud Service Providers (CSPs), attribution of any activity for a forensic investigation becomes a tedious task. This paper presents an architecture agnostic, privacy-preserving solution to reducing the digital forensics target search space of a investigation within cloud and edge computing environments which will leverage standard metering and network logs for efficient activity attribution.",,978-1-5386-2855-3,10.1109/SDS.2017.7939155,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7939155,Anti-forenics;cloud forensics;traffic analysis;resource correlation,Cloud computing;Digital forensics;Edge computing;Encryption;Computer architecture;Tools,,6,,31,IEEE,08-Jun-17,8-11 May 2017,8-11 May 2017,IEEE,IEEE Conferences
Deep Learning Hierarchical Representations for Image Steganalysis,J. Ye; J. Ni; Y. Yi,"Guangdong Provincial Key Laboratory of Information Security Technology, Guangzhou, China; Xinhua College of Sun Yat-Sen University, Guangdong, China; School of Data and Computer Science, Sun Yat-Sen University, Guangdong, China",IEEE Transactions on Information Forensics and Security,25-Jul-17,2017,12,11,2545,2557,"Nowadays, the prevailing detectors of steganographic communication in digital images mainly consist of three steps, i.e., residual computation, feature extraction, and binary classification. In this paper, we present an alternative approach to steganalysis of digital images based on convolutional neural network (CNN), which is shown to be able to well replicate and optimize these key steps in a unified framework and learn hierarchical representations directly from raw images. The proposed CNN has a quite different structure from the ones used in conventional computer vision tasks. Rather than a random strategy, the weights in the first layer of the proposed CNN are initialized with the basic high-pass filter set used in the calculation of residual maps in a spatial rich model (SRM), which acts as a regularizer to suppress the image content effectively. To better capture the structure of embedding signals, which usually have extremely low SNR (stego signal to image content), a new activation function called a truncated linear unit is adopted in our CNN model. Finally, we further boost the performance of the proposed CNN-based steganalyzer by incorporating the knowledge of selection channel. Three state-of-the-art steganographic algorithms in spatial domain, e.g., WOW, S-UNIWARD, and HILL, are used to evaluate the effectiveness of our model. Compared to SRM and its selection-channel-aware variant maxSRMd2, our model achieves superior performance across all tested algorithms for a wide variety of payloads.",1556-6021,,10.1109/TIFS.2017.2710946,"National Natural Science Foundation of China(grant numbers:61379156,61672546,60970145); National Research Foundation for the Doctoral Program of Higher Education of China(grant numbers:20120171110037); Key Program of Natural Science Foundation of Guangdong(grant numbers:S2012020011114); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7937836,Steganalysis;convolutional neural networks;feature learning,Feature extraction;Convolution;Neural networks;Computational modeling;Sun;Pipelines;Kernel,,662,,32,IEEE,01-Jun-17,Nov. 2017,,IEEE,IEEE Journals
Efficient and Fast Copy Move Image Forgery Detection Technique,K. Kaur,"Guru Nanak Dev University (GNDU), Amritsar",2018 Second International Conference on Intelligent Computing and Control Systems (ICICCS),10-Mar-19,2018,,,986,990,"Nowadays, it is very easy to manipulate digital images in a skilful manner. Image processing systems are creating rapid pace and utilization of these strategies is likewise expanding day by day. Therefore, picture verification has turned out to be very difficult task due to the misuse of these systems. Copy-move forgery is the most widely recognized picture altering method in which some part of a picture is replicated and is stuck on other part of the same picture to hide or replicate some portion of image. Hence, police force and forensic expert require furthermore, productive method for recognizing duplicate move fabrication. In this paper a passive method is used to detect copy move forgery detection. Firstly forged image is divided into overlapping blocks followed by extraction of features using KPCA (kernel principal component analysis) then lexicographically sort these features. By indentifying the similar block in an image replicated image blocks are discovered. Experiment outcome exhibit that the planned strategy can precisely find the copied areas, even when images are crooked by translation including rotation by limited angels, shading diminishment, and changes of brightness. The proposed method gives good result by increasing precision, accuracy, and specificity and lesser degree of false detection and time required for detecting copy move forgery than original method which uses the histogram of gradient(HOG) technique for feature extraction.",,978-1-5386-2842-3,10.1109/ICCONS.2018.8663072,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8663072,Block matching;copy move forgery;kernel principal component analysis,Forgery;Feature extraction;Principal component analysis;Kernel;Conferences;Control systems;Digital images,,,,22,IEEE,10-Mar-19,14-15 June 2018,14-15 June 2018,IEEE,IEEE Conferences
Passive Blind Forensic Scheme for Copy-Move Temporal Tampering Detection,J. D. Gavade; S. R. Chougule,"DKTE's Textile & Engineering Institute, Ichalkaranji; Sanjay Ghodawat Institute of Technology Atigre, Kolhapur",2018 International Conference On Advances in Communication and Computing Technology (ICACCT),11-Nov-18,2018,,,155,160,"This paper contributes in detecting temporal tampering in the Moving Picture Experts Group-4 (MPEG-4) digital video using passive blind forensic scheme. In temporal tampering attack, one or more frames are copied from video and pasted at some other location in the same video to hide or highlight particular activity. Sometimes the original frames are modified and then pasted at some other location. This tampering activity is carried out so smartly that it is difficult to identify with naked eyes. The proposed forensic scheme uses two-step algorithm to detect the tampering. First, the suspicious frame is detected and then this frame is compared with others frames in the sequence to find the duplicate frame. Comparison of the frames is carried out with the help of Scale Invariant Feature Transform (SIFT) key-points. Random Sample Consensus (RANSAC) is used to take the final decision on the matching of the frames. The simulation results show that the proposed scheme is able to detect and locate the tampered frame with 100% accuracy regardless of how many number of frames of the video sequence are duplicated.",,978-1-5386-0926-2,10.1109/ICACCT.2018.8529536,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8529536,Video forensic;Copy-move forgery;Temporal-tampering;SIFT;RANSAC,Forgery;Feature extraction;Forensics;Transform coding;Histograms;Video sequences;Indexes,,4,,14,IEEE,11-Nov-18,8-9 Feb. 2018,8-9 Feb. 2018,IEEE,IEEE Conferences
Wiping Techniques and Anti-Forensics Methods,M. Ölvecký; D. Gabriška,"Department of Applied Informatics, University of SS. Cyril and Methodius, Trnava, Slovak Republic; Department of Applied Informatics, University of SS. Cyril and Methodius, Trnava, Slovak Republic",2018 IEEE 16th International Symposium on Intelligent Systems and Informatics (SISY),08-Nov-18,2018,,,127,132,This paper presents a theoretical background of main research activity focused on the evaluation of wiping/erasure standards which are mostly implemented in specific software products developed and programming for data wiping. The information saved in storage devices often consists of metadata and trace data. Especially but not only these kinds of data are very important in the process of forensic analysis because they sometimes contain information about interconnection on another file. Most people saving their sensitive information on their local storage devices and later they want to secure erase these files but usually there is a problem with this operation. Secure file destruction is one of many Anti-forensics methods. The outcome of this paper is to define the future research activities focused on the establishment of the suitable digital environment. This environment will be prepared for testing and evaluating selected wiping standards and appropriate eraser software.,1949-0488,978-1-5386-6841-2,10.1109/SISY.2018.8524756,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8524756,,Metadata;Writing;Standards;Tools;Digital forensics;File systems,,13,,26,IEEE,08-Nov-18,13-15 Sept. 2018,13-15 Sept. 2018,IEEE,IEEE Conferences
Auditing DBMSes through Forensic Analysis,J. Wagner,"School of Computing, DePaul University, Chicago, U.S.A.",2018 IEEE 34th International Conference on Data Engineering (ICDE),25-Oct-18,2018,,,1704,1708,"The pervasive use of databases for the storage of critical and sensitive information in many organizations has led to an increase in the rate at which databases are exploited in computer crimes. While there are several techniques and tools available for database forensics, they mostly assume apriori database preparation, such as relying on tamper-detection software to already be in place or use of detailed logging. Alternatively, investigators need forensic tools and techniques that work on poorly-configured databases and make no assumptions about the extent of damage in a database. In this paper, we present our database forensics methods, which are capable of examining database content from a database image without using any log or system metadata. We describe how these methods can be used to detect security breaches in untrusted environments where the security threat arose from a privileged user (or someone who has obtained such privileges).",2375-026X,978-1-5386-5520-7,10.1109/ICDE.2018.00219,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8509440,database forensics;digital forensics;page carving;tampering detection,Forensics;Image reconstruction;Tools;Layout;Indexes;Security,,,,22,IEEE,25-Oct-18,16-19 April 2018,16-19 April 2018,IEEE,IEEE Conferences
A review on deep learning based image steganalysis,Y. -H. Tang; L. -H. Jiang; H. -Q. He; W. -Y. Dong,"State key laboratory of Mathematical Engineering and Advance Computing, Zhengzhou, China; State key laboratory of Mathematical Engineering and Advance Computing, Zhengzhou, China; State key laboratory of Mathematical Engineering and Advance Computing, Zhengzhou, China; State key laboratory of Mathematical Engineering and Advance Computing, Zhengzhou, China","2018 IEEE 3rd Advanced Information Technology, Electronic and Automation Control Conference (IAEAC)",16-Dec-18,2018,,,1764,1770,"Deep learning is applied to image steganalysis and makes great progress. This paper presents a review on image steganalysis based on deep learning. According to the steganography scheme, these steganalysis methods are mainly classified as spatial domain steganalysis and jpeg domain steganalysis. The former approaches try to improve the steganalysis performance through network model design, fusion and learning strategy, while the latter methods attempt to perform better by designing appropriate network model or incorporating prior knowledge into the Convolutional Neural Network architecture. However, there are still several issues that need to be solved, on basis of which the future research direction is discussed.",2381-0947,978-1-5386-4509-3,10.1109/IAEAC.2018.8577655,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8577655,image steganalysis;deep learning;Convolutional Neural Network,Deep learning;Knowledge engineering;Training;Steganography;Image recognition;Reviews;Convolutional neural networks;Information technology;Signal detection;Payloads,,4,,47,IEEE,16-Dec-18,12-14 Oct. 2018,12-14 Oct. 2018,IEEE,IEEE Conferences
A SMART Goal-based Framework for Privacy Preserving Embedded Forensic Investigations,J. Pathak; S. Sankaran; K. Achuthan,"Center for Cybersecurity Systems and Networks, Amrita Vishwa Vidyapeetham, Amritapuri, India; Center for Cybersecurity Systems and Networks, Amrita Vishwa Vidyapeetham, Amritapuri, India; Center for Cybersecurity Systems and Networks, Amrita Vishwa Vidyapeetham, Amritapuri, India",2019 9th International Symposium on Embedded Computing and System Design (ISED),19-May-20,2019,,,1,5,"Forensic investigations obtain as much information from a crime suspect to gather evidence for the case. However, such investigations performed on embedded devices may invade the privacy of those possessing the devices. An embedded device is a valuable potential source of evidence and also is a personal device consisting of private data. In our research, we discuss the various implications of data privacy laws on embedded device forensics investigations, the role of anti-forensics and propose set of policies and measures for handling the privacy concerns to embedded forensic investigations. We also propose a SMART framework for enabling privacy-preserving embedded digital forensic investigations at every phase of a traditional forensic framework. We scope our work for non-corporate owners of embedded devices who are under criminal investigations for a cyber crime.",2473-9413,978-1-7281-4177-0,10.1109/ISED48680.2019.9096232,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9096232,,Forensics;Privacy;Data privacy;Tools;Encryption,,3,,37,IEEE,19-May-20,13-14 Dec. 2019,13-14 Dec. 2019,IEEE,IEEE Conferences
New Copy-Move Forgery Detection Algorithm,R. H. Jaafar; Z. H. Rasool; A. H. H. Alasadi,"Department of Computer Science, Basra University, Basrah, Iraq; School of Electrical Engineering and Computer Science, South Ural State University, Chelyabinsk, Russia; Department of Computer Science, Basra University, Basrah, Iraq",2019 International Russian Automation Conference (RusAutoCon),14-Oct-19,2019,,,1,5,"In the era of digitization, the digital image plays a documentary role and consolidates a belief. Therefore, the image has to be trustworthy as important as the belief it influences. However, the digital world also came accompanied with the easiness of image manipulation for fun or forgery by available simple or professional image editing programs or even by cell phone apps. Accordingly, the necessity resulted in setting a goal to invent robust forgery detection systems that enable the computer to automatically recognize the tampering and make a tangible decision about image integrity. This paper plans a new algorithm for detecting the most popular forgery attack that is the copy-move forgery. The purpose of using the new algorithm is to make Scale invariant feature transform and the geometric transformation work together to achieve the best results in the forgery detection. The algorithm consists of five stages: image acquisition, the preprocessing for gray level production and dividing the input image, feature extraction of objects using Scale invariant feature transform algorithm, matching and indexing using a k-d tree and two Neural Network test, and geometric transformation. The result of matching determines whether the image is forged or not.",,978-1-7281-0265-8,10.1109/RUSAUTOCON.2019.8867813,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8867813,Image forgery;Copy-move;Feature extraction;SIFT;RANSAC,Forgery;Feature extraction;Digital images;Transforms;Automation;Data preprocessing;Cloning,,3,,15,IEEE,14-Oct-19,8-14 Sept. 2019,8-14 Sept. 2019,IEEE,IEEE Conferences
Object based forgery detection and localization in videos,K. N. Sowmya; H. R. Chennamma,"Department of ISE, JSS Academy of Technical Education, Bangalore, Karnataka, India; Department of MCA, JSS Science & Technology University, Mysuru, Karnataka, India","2019 1st International Conference on Advanced Technologies in Intelligent Control, Environment, Computing & Communication Engineering (ICATIECE)",13-Apr-20,2019,,,243,247,Video forensics involving passive approach exploits the statistical patterns of the video sequence to measure the integrity of video and detect forgery if it is compromised. Digital videos are susceptible to tampering due to the availability of efficient video processing tools for malevolent purpose. Object based video tampering disturbs under lying natural pattern of the video sequence. Quantal parameters of the spatial moments of a frame in a video provides inherent clue when object based forgery happens. The scalar quantities representing global characteristics of the frames in a video have been exploited to detect suspected frames. Thresholding approach is adopted to distinguish forged frames and original frames in a video sequence. Experiments on the subset of benchmark dataset demonstrate the efficiency of our approach.,,978-1-7281-0418-8,10.1109/ICATIECE45860.2019.9063831,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9063831,Object based forgery;passive forensics;object addition;spatial moments,Videos;Forgery;Video sequences;Object recognition;Radio frequency;Brightness;Forensics,,4,,20,IEEE,13-Apr-20,19-20 March 2019,19-20 March 2019,IEEE,IEEE Conferences
